Cause,time,est,Risk,CVDRx,LiverRx,estRx,Stage,Age
Liver,10,4.880000000000025,Base case,0.95,0.6,1.95200000000001,F3,45
Other,10,6.220000000000059,Base case,0.95,0.7,2.3636000000000226,F3,45
Liver,10,4.880000000000025,Base case,0.95,0.7,1.4640000000000077,F3,45
Other,10,6.220000000000059,Base case,0.9,0.1,2.239200000000021,F3,45
Liver,10,4.880000000000025,Base case,0.9,0.1,4.3920000000000226,F3,45
Other,10,6.220000000000059,Base case,0.9,0.2,2.239200000000021,F3,45
Liver,10,4.880000000000025,Base case,0.9,0.2,3.90400000000002,F3,45
Other,10,6.220000000000059,Base case,0.9,0.3,2.239200000000021,F3,45
Liver,10,4.880000000000025,Base case,0.9,0.3,3.416000000000017,F3,45
Other,10,6.220000000000059,Base case,0.9,0.4,2.239200000000021,F3,45
Liver,10,4.880000000000025,Base case,0.9,0.4,2.9280000000000146,F3,45
Other,10,6.220000000000059,Base case,0.9,0.5,2.239200000000021,F3,45
Liver,10,4.880000000000025,Base case,0.9,0.5,2.4400000000000124,F3,45
Other,10,6.220000000000059,Base case,0.9,0.6,2.239200000000021,F3,45
Liver,10,4.880000000000025,Base case,0.9,0.6,1.95200000000001,F3,45
Other,10,6.220000000000059,Base case,0.9,0.7,2.239200000000021,F3,45
Liver,10,4.880000000000025,Base case,0.9,0.7,1.4640000000000077,F3,45
Other,10,6.220000000000059,Base case,0.85,0.1,2.11480000000002,F3,45
Liver,10,4.880000000000025,Base case,0.85,0.1,4.3920000000000226,F3,45
Other,10,6.220000000000059,Base case,0.85,0.2,2.11480000000002,F3,45
Liver,10,4.880000000000025,Base case,0.85,0.2,3.90400000000002,F3,45
Other,10,6.220000000000059,Base case,0.85,0.3,2.11480000000002,F3,45
Liver,10,4.880000000000025,Base case,0.85,0.3,3.416000000000017,F3,45
Other,10,6.220000000000059,Base case,0.85,0.4,2.11480000000002,F3,45
Liver,10,4.880000000000025,Base case,0.85,0.4,2.9280000000000146,F3,45
Other,10,6.220000000000059,Base case,0.85,0.5,2.11480000000002,F3,45
Liver,10,4.880000000000025,Base case,0.85,0.5,2.4400000000000124,F3,45
Other,10,6.220000000000059,Base case,0.85,0.6,2.11480000000002,F3,45
Liver,10,4.880000000000025,Base case,0.85,0.6,1.95200000000001,F3,45
Other,10,6.220000000000059,Base case,0.85,0.7,2.11480000000002,F3,45
Liver,10,4.880000000000025,Base case,0.85,0.7,1.4640000000000077,F3,45
Other,10,6.220000000000059,Base case,1.05,0.1,2.612400000000025,F3,45
Liver,10,4.880000000000025,Base case,1.05,0.1,4.3920000000000226,F3,45
Other,10,6.220000000000059,Base case,1.05,0.2,2.612400000000025,F3,45
Liver,10,4.880000000000025,Base case,1.05,0.2,3.90400000000002,F3,45
Other,10,6.220000000000059,Base case,1.05,0.3,2.612400000000025,F3,45
Liver,10,4.880000000000025,Base case,1.05,0.3,3.416000000000017,F3,45
Other,10,6.220000000000059,Base case,1.05,0.4,2.612400000000025,F3,45
Liver,10,4.880000000000025,Base case,1.05,0.4,2.9280000000000146,F3,45
Other,10,6.220000000000059,Base case,1.1,0.5,2.7368000000000263,F3,45
Liver,10,4.880000000000025,Base case,1.1,0.5,2.4400000000000124,F3,45
Other,10,6.220000000000059,Base case,1.05,0.6,2.612400000000025,F3,45
Liver,10,4.880000000000025,Base case,1.05,0.6,1.95200000000001,F3,45
Other,10,6.220000000000059,Base case,1.05,0.7,2.612400000000025,F3,45
Liver,10,4.880000000000025,Base case,1.05,0.7,1.4640000000000077,F3,45
Other,10,6.220000000000059,Base case,1.1,0.1,2.7368000000000263,F3,45
Liver,10,4.880000000000025,Base case,1.1,0.1,4.3920000000000226,F3,45
Other,10,6.220000000000059,Base case,1.1,0.2,2.7368000000000263,F3,45
Liver,10,4.880000000000025,Base case,1.1,0.2,3.90400000000002,F3,45
Other,10,6.220000000000059,Base case,1.1,0.3,2.7368000000000263,F3,45
Liver,10,4.880000000000025,Base case,1.1,0.3,3.416000000000017,F3,45
Other,10,6.220000000000059,Base case,1.1,0.4,2.7368000000000263,F3,45
