Cause,time,est,Risk,LiverRx,estRx,Stage,Age
HCC,8,0.40999999999999936,Low,0,0.40999999999999936,F2,55
HCC,8.4,0.4399999999999994,Low,0,0.4399999999999994,F2,55
HCC,8.8,0.45999999999999946,Low,0,0.45999999999999946,F2,55
HCC,9.2,0.45999999999999946,Low,0,0.45999999999999946,F2,55
HCC,9.6,0.47999999999999954,Low,0,0.47999999999999954,F2,55
HCC,10,0.47999999999999954,Low,0,0.47999999999999954,F2,55
Decompensation,0,0,Low,0.1,0,F2,55
Decompensation,0.4,0.09999999999999996,Low,0.1,0.08999999999999997,F2,55
Decompensation,0.8,0.1599999999999999,Low,0.1,0.14399999999999993,F2,55
Decompensation,1.2,0.20999999999999983,Low,0.1,0.18899999999999983,F2,55
Decompensation,1.6,0.30999999999999966,Low,0.1,0.2789999999999997,F2,55
Decompensation,2,0.3399999999999996,Low,0.1,0.3059999999999996,F2,55
Decompensation,2.4,0.3899999999999995,Low,0.1,0.3509999999999996,F2,55
Decompensation,2.8,0.4499999999999992,Low,0.1,0.4049999999999993,F2,55
Decompensation,3.2,0.4699999999999991,Low,0.1,0.42299999999999915,F2,55
Decompensation,3.6,0.5099999999999989,Low,0.1,0.45899999999999896,F2,55
Decompensation,4,0.5899999999999986,Low,0.1,0.5309999999999987,F2,55
Decompensation,4.4,0.6599999999999986,Low,0.1,0.5939999999999988,F2,55
Decompensation,4.8,0.72999999999999865,Low,0.1,0.6569999999999988,F2,55
Decompensation,5.2,0.7699999999999986,Low,0.1,0.6929999999999987,F2,55
Decompensation,5.6,0.7999999999999985,Low,0.1,0.7199999999999986,F2,55
Decompensation,6,0.8499999999999982,Low,0.1,0.7649999999999983,F2,55
Decompensation,6.4,0.8899999999999979,Low,0.1,0.800999999999998,F2,55
Decompensation,6.8,0.9699999999999976,Low,0.1,0.8729999999999979,F2,55
Decompensation,7.2,1.0399999999999971,Low,0.1,0.9359999999999974,F2,55
Decompensation,7.6,1.1199999999999968,Low,0.1,1.0079999999999971,F2,55
Decompensation,8,1.1799999999999964,Low,0.1,1.0619999999999967,F2,55
Decompensation,8.4,1.249999999999996,Low,0.1,1.1249999999999962,F2,55
Decompensation,8.8,1.3099999999999956,Low,0.1,1.178999999999996,F2,55
Decompensation,9.2,1.399999999999995,Low,0.1,1.2599999999999956,F2,55
Decompensation,9.6,1.4599999999999946,Low,0.1,1.3139999999999952,F2,55
Decompensation,10,1.4899999999999944,Low,0.1,1.3409999999999949,F2,55
HCC,0,0,Low,0.1,0,F2,55
HCC,0.4,0,Low,0.1,0,F2,55
HCC,0.8,0.029999999999999975,Low,0.1,0.02699999999999998,F2,55
HCC,1.2,0.04999999999999996,Low,0.1,0.044999999999999964,F2,55
HCC,1.6,0.05999999999999994,Low,0.1,0.053999999999999944,F2,55
HCC,2,0.08999999999999987,Low,0.1,0.08099999999999989,F2,55
HCC,2.4,0.11999999999999982,Low,0.1,0.10799999999999983,F2,55
HCC,2.8,0.12999999999999978,Low,0.1,0.11699999999999981,F2,55
HCC,3.2,0.12999999999999978,Low,0.1,0.11699999999999981,F2,55
HCC,3.6,0.15999999999999973,Low,0.1,0.14399999999999974,F2,55
HCC,4,0.1699999999999997,Low,0.1,0.15299999999999975,F2,55
HCC,4.4,0.19999999999999965,Low,0.1,0.1799999999999997,F2,55
HCC,4.8,0.20999999999999963,Low,0.1,0.18899999999999967,F2,55
HCC,5.2,0.2399999999999996,Low,0.1,0.21599999999999966,F2,55
HCC,5.6,0.25999999999999956,Low,0.1,0.23399999999999962,F2,55
HCC,6,0.2799999999999995,Low,0.1,0.25199999999999956,F2,55
HCC,6.4,0.2799999999999995,Low,0.1,0.25199999999999956,F2,55
HCC,6.8,0.30999999999999944,Low,0.1,0.2789999999999995,F2,55
HCC,7.2,0.3599999999999994,Low,0.1,0.32399999999999946,F2,55
HCC,7.6,0.37999999999999934,Low,0.1,0.3419999999999994,F2,55
HCC,8,0.40999999999999936,Low,0.1,0.3689999999999994,F2,55
HCC,8.4,0.4399999999999994,Low,0.1,0.39599999999999946,F2,55
HCC,8.8,0.45999999999999946,Low,0.1,0.41399999999999954,F2,55
HCC,9.2,0.45999999999999946,Low,0.1,0.41399999999999954,F2,55
HCC,9.6,0.47999999999999954,Low,0.1,0.43199999999999955,F2,55
HCC,10,0.47999999999999954,Low,0.1,0.43199999999999955,F2,55
Decompensation,0,0,Low,0.2,0,F2,55
Decompensation,0.4,0.09999999999999996,Low,0.2,0.07999999999999997,F2,55
Decompensation,0.8,0.1599999999999999,Low,0.2,0.12799999999999992,F2,55
Decompensation,1.2,0.20999999999999983,Low,0.2,0.16799999999999984,F2,55
Decompensation,1.6,0.30999999999999966,Low,0.2,0.24799999999999975,F2,55
Decompensation,2,0.3399999999999996,Low,0.2,0.2719999999999997,F2,55
Decompensation,2.4,0.3899999999999995,Low,0.2,0.3119999999999996,F2,55
Decompensation,2.8,0.4499999999999992,Low,0.2,0.3599999999999994,F2,55
Decompensation,3.2,0.4699999999999991,Low,0.2,0.3759999999999992,F2,55
Decompensation,3.6,0.5099999999999989,Low,0.2,0.40799999999999914,F2,55
Decompensation,4,0.5899999999999986,Low,0.2,0.4719999999999989,F2,55
Decompensation,4.4,0.6599999999999986,Low,0.2,0.5279999999999989,F2,55
Decompensation,4.8,0.72999999999999865,Low,0.2,0.583999999999999,F2,55
Decompensation,5.2,0.7699999999999986,Low,0.2,0.6159999999999989,F2,55
Decompensation,5.6,0.7999999999999985,Low,0.2,0.6399999999999988,F2,55
Decompensation,6,0.8499999999999982,Low,0.2,0.6799999999999986,F2,55
Decompensation,6.4,0.8899999999999979,Low,0.2,0.7119999999999984,F2,55
Decompensation,6.8,0.9699999999999976,Low,0.2,0.7759999999999981,F2,55
Decompensation,7.2,1.0399999999999971,Low,0.2,0.8319999999999979,F2,55
Decompensation,7.6,1.1199999999999968,Low,0.2,0.8959999999999974,F2,55
Decompensation,8,1.1799999999999964,Low,0.2,0.9439999999999971,F2,55
Decompensation,8.4,1.249999999999996,Low,0.2,0.9999999999999967,F2,55
Decompensation,8.8,1.3099999999999956,Low,0.2,1.0479999999999965,F2,55
Decompensation,9.2,1.399999999999995,Low,0.2,1.119999999999996,F2,55
Decompensation,9.6,1.4599999999999946,Low,0.2,1.1679999999999957,F2,55
Decompensation,10,1.4899999999999944,Low,0.2,1.1919999999999957,F2,55
HCC,0,0,Low,0.2,0,F2,55
HCC,0.4,0,Low,0.2,0,F2,55
HCC,0.8,0.029999999999999975,Low,0.2,0.023999999999999983,F2,55
HCC,1.2,0.04999999999999996,Low,0.2,0.039999999999999966,F2,55
